OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES
165,OR4515911997920130510,Initial,70440292013130,80440292013200,-970,130,9999,9999,45.169,-119.968,Wildfire,121,-150,1368144000000,1158
171,UT3976811230220130815,Extended,50380322011203,80380322014200,-970,64,200,380,39.843,-112.311,Wildfire,222,-150,1376524800000,1657
194,MT4712010805220130423,Initial,50370272011116,70370272013100,-970,68,242,458,47.182,-108.235,Prescribed Fire,1 TIN CAN HILL UNIT G RX NW LP-2,-150,1366675200000,1761
261,FL2545608036420130403,Initial (SS),NULL,80150422013100,0,530,-9999,-9999,25.455,-80.363,Wildfire,117 328 FFS,0,1364947200000,999
276,NV3961811852320130319,Initial (SS),NULL,70420322013100,0,100,-9999,-9999,39.643,-118.519,Prescribed Fire,13-NV-STILLWATER-WEST MARSH MILLENS BURN,0,1363651200000,1419
371,WA4801012024820130704,Initial (SS),NULL,70450272013200,0,200,-9999,-9999,48.005,-120.223,Wildfire,25 MILE,0,1372896000000,2136
478,AK6904616156420130620,Initial,50820112010236,80810112013200,-970,-7,9999,9999,69.041,-161.578,Wildfire,ARCHIMEDES,-150,1371686400000,1004
524,ID4299511589420130808,Initial,80410302013213,80410302013200,-970,8,9999,9999,43.01,-115.896,Wildfire,AIR,-150,1375920000000,3360
555,WY4434311031120130814,Extended,50380292011187,70380292014200,-970,1,197,419,44.352,-110.301,Wildfire,ALDER,-150,1376438400000,3261
603,WY4458611055120130814,Extended,80380292013224,70380292014200,-970,9,247,505,44.592,-110.485,Wildfire,ALUM,-150,1376438400000,7084
611,CA3911912064620130810,Extended,80430332013179,80430332014200,-970,70,294,550,39.136,-120.588,Wildfire,AMERICAN,-150,1376092800000,27938
679,UT3858711284620130628,Initial,80380332013176,70380332013200,-970,4,9999,9999,38.582,-112.841,Wildfire,ANTELOPE,-150,1372377600000,5515
732,CA3727911931820130722,Extended,80420342013188,80420342014200,-970,80,287,530,37.294,-119.263,Wildfire,ASPEN,-150,1374451200000,23564
797,AK6905015615020130620,Initial (SS),NULL,80770112013200,0,457,-9999,-9999,69.054,-156.152,Wildfire,AWUNA RIVER 1,0,1371686400000,1135
802,WA4833111962320130715,Initial (SS),NULL,70450262013200,0,60,-9999,-9999,48.32,-119.648,Wildfire,B and O,0,1373846400000,1713
849,ID4626611489220130714,Extended,80410282013181,80410282014200,-970,28,216,430,46.255,-114.897,Wildfire,BAILEY,-150,1373760000000,2102
1013,MS3255008966620130317,Initial,50220372011075,70220372013100,-970,30,9999,9999,32.545,-89.67,Prescribed Fire,BIEN 1-4,-150,1363478400000,1888
1014,MS3237708968320130529,Initial (SS),NULL,80220382013100,0,696,-9999,-9999,32.415,-89.664,Prescribed Fire,BIEN 17-31-34,0,1369785600000,1162
1016,MS3243708954020130520,Initial,50220382011155,80220382013100,-970,-1,9999,9999,32.435,-89.531,Prescribed Fire,BIEN 23-24-27-28,-150,1369008000000,711
1018,MS3238308956620130519,Initial,50220382011155,80220382013100,-970,-1,9999,9999,32.388,-89.538,Prescribed Fire,BIEN 42-46 55,-150,1368921600000,2215
1079,AK6374315115120130621,Extended,80710152013167,80710152014200,-970,50,205,400,63.725,-151.151,Wildfire,BEAR CREEK,-150,1371772800000,3743
1147,AZ3596311382420130701,Initial,80380352013176,80380352013200,-970,50,150,9999,35.957,-113.875,Wildfire,BEAVER,-150,1372636800000,6751
1155,ID4345711455020130807,Initial,50400302011233,80400302013200,-970,110,309,550,43.603,-114.507,Wildfire,BEAVER CREEK,-150,1375833600000,111286
1160,TN3526608411420130409,Initial (SS),NULL,70190362013100,0,490,271,75,35.267,-84.115,Prescribed Fire,BEAVER DAM,0,1365465600000,4336
1167,AK6393915220320130622,Extended,80710152013167,80710152014200,-970,75,376,700,64.002,-152.001,Wildfire,BEAVER LOG LAKES,-150,1371859200000,62239
1193,AZ3310111008020130530,Initial,80350372013139,80350372013200,-970,50,350,9999,33.113,-110.077,Wildfire,BEETOWN,-150,1369872000000,1225
1291,AK6798314405020130715,Initial,50690122010241,80690122013200,-970,40,309,600,67.999,-144.036,Wildfire,BIG FISH LAKE,-150,1373846400000,1539
1294,WY4486210829520130412,Initial,50370292011132,80370292013200,-970,70,9999,9999,44.869,-108.272,Wildfire,BIG FORK,-150,1365724800000,1090
1299,OK3479809517320130308,Initial (SS),NULL,70260362013100,0,150,-9999,-9999,34.783,-95.183,Wildfire,BIG HIGH TOP,0,1362700800000,1240
1324,AZ3300611018420130514,Initial,80350372013123,80350372013100,-970,50,260,9999,33.025,-110.263,Wildfire,BLACKROCK,-150,1368489600000,1627
1401,AK6376614169520130627,Extended,50650152009162,70650152014200,-970,50,205,400,63.778,-141.716,Wildfire,BIG TIMBER CREEK,-150,1372291200000,8745
1411,OR4261412376020130726,Extended,80460302013184,80460302014200,-970,39,307,605,42.633,-123.736,Wildfire,BIG WINDY COMPLEX,-150,1374796800000,28911
1430,AK6385314372720130622,Initial,50660152011239,80650152013200,-970,1,237,493,63.863,-143.79,Wildfire,BILLY CREEK,-150,1371859200000,16385
1444,AK6537814429420130703,Initial (SS),NULL,70670142013300,0,300,150,-50,65.429,-144.404,Wildfire,BIRCH CREEK,0,1372809600000,24916
1467,NV3887811956120130704,Extended,80430332013179,80430332014200,-970,70,240,450,38.933,-119.483,Wildfire,BISON,-150,1372896000000,23611
1474,AK6317414196120130531,Initial,50640162008185,80640162013200,-970,90,355,650,63.147,-141.972,Wildfire,BITTER CREEK,-150,1369958400000,1947
1491,NV3883111416720130701,Extended,80390332013183,80390332014200,-970,90,274,500,38.838,-114.182,Wildfire,BLACK,-150,1372636800000,4798
1510,CO3901210474920130611,Extended,50330332011200,80330332014200,-970,50,302,580,39.044,-104.693,Wildfire,BLACK FOREST,-150,1370908800000,11885
1527,UT3816611289120130702,Extended,80380342013160,80380342014200,-970,50,196,382,38.119,-112.892,Wildfire,BLACK MOUNTAIN,-150,1372723200000,4603
1540,ID4298711401020130731,Initial,50400302011217,80400302013200,-970,60,250,9999,42.97,-114.011,Wildfire,BLACK RIDGE,-150,1375228800000,1526
1629,FL2925008175020130509,Initial,80160402013087,80160402013100,-970,10,191,400,29.254,-81.75,Prescribed Fire,BLOCKS A B,-200,1368057600000,948
1651,FL2594008100320130516,Initial (SS),NULL,80150422013100,0,450,-9999,-9999,25.953,-80.992,Prescribed Fire,BLUE BIRD 2,0,1368662400000,3866
1750,ID4287511688620130729,Initial,80420302013204,80420302013200,-970,-7,9999,9999,42.872,-116.862,Wildfire,BONJOUR,-150,1375056000000,1231
1884,ID4303611492420130703,Initial,50400302011185,80400302013200,-970,90,350,9999,43.003,-114.945,Wildfire,BRAY LAKE,-150,1372809600000,2461
1925,OR4261812347620130726,Extended,80460302013184,80460302014200,-970,57,321,609,42.606,-123.492,Wildfire,BRIMSTONE FIRE,-150,1374796800000,2444
1969,ID4299711423520130721,Initial,50400302011217,80400302013200,-970,60,320,9999,43.008,-114.177,Wildfire,BROWN BUTTE,-150,1374364800000,7488
1992,ID4291211546620130716,Initial,80410302013181,80410302013200,-970,-1,9999,9999,42.9,-115.487,Wildfire,BROWNS GULCH,-150,1373932800000,4495
